n,id,date,text,lang,source
1511,www_theglobeandmail_com_world_article-new-gaza-ceasefire-talks-begin-in-qatar-aiming-to-head-off-wider-war__20240816_113333,2024-08-16,"Israel’s military spokesperson, Rear Adm.",EN,headlines
26702,441296HAN296-12663024,2024-04-09,"In question period today, one of his colleagues got up and claimed that the carbon tax was 23%.",EN,parliament
23971,441361HAN361-12957537,2024-10-29,"Speaker, for a moment I thought my official critic was going to ask a question about indigenous peoples, but again we saw a return to Conservative talking points, not the kinds of things that matter to the first nations people I have been working so hard with, along with my colleagues.",EN,parliament
2182,vancouversun_com_opinion_columnists_clinging-power-finding-new-leader-strategy-bc-political-parties_20250107_083332,2025-01-07,The new premier called a snap election and defeated the NDP.,EN,headlines
37539,441376HAN376-13014780,2024-11-26,Tous les services de Radio‑Canada seraient abolis à Ottawa et à Québec aussi.,FR,parliament
11715,www_tvanouvelles_ca_2025_01_29_une-adolescente-brulee-au-troisieme-degre-au-visage-apres-une-explosion-en-camping--ses-cheveux-son-coton-ouate-ses-bras-tout-etait-en-feu_20241229_141405,2024-12-29,"Le 29 juin dernier, la famille de Chicoutimi s’était installée pour souper dans le gazébo au camping, à Saint-Honoré.",FR,headlines
18700,ici_radio-canada_ca_nouvelle_2096579_jasper-feux-dommages-couts-taxes_20240814_041326,2024-08-14,"L'objectif général est d'alléger le fardeau des résidents, a précisé M.",FR,headlines
6548,globalnews_ca_news_10740296_mark-carney-advisor-justin-trudeau__20240910_093353,2024-09-10,"“They believe they know better how to spend your money, the hardworking paycheques that Canadians earn every week.”",EN,headlines
39408,441320HAN320-12770648,2024-05-29,"Le projet de loi facilite les poursuites pour ingérence étrangère en éliminant la nécessité pour la Couronne de démontrer que le but de l'infraction d'ingérence étrangère est de nuire aux intérêts canadiens si la personne commettant l'infraction ou la victime a un lien avec le Canada.Enfin, la partie 2 modifierait le Code criminel afin d'élargir la portée de l'infraction de sabotage pour y inclure le sabotage d'infrastructures essentielles, ce qui comprend, selon la définition, les infrastructures de transport, les infrastructures de technologies de l'information et de la communication, les infrastructures d'approvisionnement en eau potable et de traitement des eaux usées, les infrastructures de l'énergie et des services publics, les infrastructures de services de santé, les infrastructures d'approvisionnement alimentaire, les infrastructures relatives aux activités publiques et les infrastructures financières.",FR,parliament
15928,www_lapresse_ca_elections-americaines_chroniques_2024-07-06_le-deni-du-president_php_20240706_083330,2024-07-06,"Dire : « j’ai un sens éthique, contrairement à Trump, un menteur pathologique » ne suffit plus.",FR,headlines
5107,globalnews_ca_news_10611005_canada-argentina-copa-america__20240709_184357,2024-07-09,Lautaro Martinez – He currently plies his trade in Italy for Inter Milan.,EN,headlines
10300,www_ledevoir_com_environnement_825436_mauricie-aires-protegees-discorde_20241209_095356,2024-12-09,"Ce projet devait permettre de préserver des milieux naturels importants pour des espèces menacées et des zones forestières épargnées par l’industrie, mais aussi un territoire qui créait une « connectivité » avec d’autres écosystèmes protégés de la région.",FR,headlines
2035,www_cbc_ca_news_world_us-presidency-trump-wins-1_7375086_20241106_222409,2024-11-06,"""I want to thank the American people for the extraordinary honour of being elected your 47th president.""",EN,headlines
32780,441290HAN290-12629972,2024-03-18,"Je voterai pour, car je pense que c'est la chose à faire.",FR,parliament
29765,441389HAN389-13070319,2024-12-13,"Speaker, our government is bringing real tax relief to Canadians.",EN,parliament
31682,441278HAN278-12567312,2024-02-08,Est-ce qu'il y a moyen d'enlever les obstacles à l'arrivée de ces gens?,FR,parliament
35409,441379HAN379-13029547,2024-11-29,"Je n'ai pas dit 3 %, mais bien 0,3 %.",FR,parliament
39326,441290HAN290-12629616,2024-03-18,"Cela provoque la famine et cela provoque la misère des 2 millions de Palestiniens qui sont coincés dans cet enfer sur Terre, l'endroit le plus dangereux sur la planète pour un enfant aujourd'hui.",FR,parliament
4640,www_theglobeandmail_com_canada_article-bc-election-ndp-conservatives__20241020_122327,2024-10-20,The Greens – and British Columbians – have been here before.,EN,headlines
39530,441295HAN295-12657426,2024-04-08,"Par exemple, la dernière circulaire de NorthMart, à Iqaluit, annonce un pot de sauce pour pâtes à plus de 10 $.",FR,parliament
30009,441364HAN364-12969408,2024-11-01,"Monsieur le Président, nous savons que la corruption remonte jusqu'au sommet du gouvernement.",FR,parliament
5450,vancouversun_com_opinion_columnists_bc-premier-david-eby-hits-back-at-andrew-weavers-know-it-all-accusation_20240716_013334,2024-07-16,"“I would have assumed, given his life’s work, that Dr.",EN,headlines
11645,ici_radio-canada_ca_nouvelle_2076023_jean-pierre-ferland-mort-temoignages-declarations_20240601_103338,2024-06-01,"Bon voyage, a-t-il répondu, tout en sobriété.",FR,headlines
16117,ici_radio-canada_ca_info_long-format_2111418_tanzanie-barrick-gold-police-meurtres-mine-autochtones-kurias_20241014_102351,2024-10-14,"Ici, on peut voir les stériles à l'arrière-plan.",FR,headlines
16076,www_ledevoir_com_politique_canada_829057_nouvelle-annee-memes-problemes-justin-trudeau_20250103_112326,2025-01-03,Près de la moitié (46 %) des Canadiens et trois partisans libéraux sur cinq estiment maintenant qu’il est temps pour le chef libéral de se retirer et de convoquer une course à la direction du parti.,FR,headlines
35423,441346HAN346-12892511,2024-10-01,L'Académie des retraités de l'Outaouais est ici.,FR,parliament
20143,441298HAN298-12671040,2024-04-11,"Speaker, when you rise in the chair, I hope Conservatives will respect that and sit down.",EN,parliament
29331,441291HAN291-12636540,2024-03-19,We want to thank Brian for his service.,EN,parliament
33752,441325HAN325-12798513,2024-06-05,"La loi indique ceci dans la partie 2:                                      Prorogation                                                                        (5) Sur demande de l'ancien employé, le chef peut, dans les circonstances réglementaires, proroger le délai prévu au paragraphe (4).",FR,parliament
30584,441312HAN312-12738548,2024-05-09,"Nous voyons les effets de cette gestion budgétaire responsable avec le taux d'inflation qui est maintenant en baisse et qui se situe désormais dans la fourchette cible, et ce, malgré les vents contraires exceptionnels auxquels nous avons été confrontés en tant qu'économie mondiale.",FR,parliament
2191,montrealgazette_com_opinion_columnists_allison-hanes-is-mcgill-being-hung-out-to-dry_20240709_213354,2024-07-09,And it’s not like McGill hasn’t sought to negotiate an end to this impasse.,EN,headlines
21995,441304HAN304-12698486,2024-04-29,"He shares that his older brother endured the unrelenting, cruel degeneration from Parkinson's for about five years until almost every aspect of his life was greatly diminished, with zero hope of abatement or cure.Last year, his older brother started to look forward to departing on his own terms, in his own home, with the loving support of his wife and family.",EN,parliament
4404,www_thestar_com_business_we-are-facing-insolvency-canada-post-ceo-tells-hearing-financial-situation-is-not-sustainable_article_fd4161e0-dcce-11ef-8b5e-af05fa774602_html_20250128_041359,2025-01-28,"In its response, the Canadian Union of Postal Workers (CUPW) accused Canada Post of union-busting and said that the company is “trying to use its financial struggles as a pretext to implement drastic service cutbacks.”",EN,headlines
21319,441304HAN304-12702769,2024-04-29,"They will become tomorrow's doctors, nurses, electricians, teachers, scientists and small business owners.",EN,parliament
37440,441281HAN281-12581212,2024-02-13,"De mon point de vue, la décision d’obtenir l’AMM n’est pas facile; elle est très difficile à prendre.",FR,parliament
5633,vancouversun_com_news_bc-truck-overpass-strikes-online-list_20240804_181333,2024-08-04,"Chohan didn’t respond to requests for comment, including on whether it had contacted police.",EN,headlines
33320,441308HAN308-12718232,2024-05-03,"Monsieur le Président, les gaz à effet de serre du Canada ont monté en 2021‑2022.",FR,parliament
34456,441290HAN290-12626546,2024-03-18,"Pour le résumer en un mot, je dirais que ce projet de loi vise essentiellement à établir une seule évaluation environnementale par projet, car, en ce moment, il existe des chevauchements entre les pouvoirs fédéraux et provinciaux en matière d'environnement.",FR,parliament
32239,441351HAN351-12912770,2024-10-08,"D'autres années, l’eau est plus haute.",FR,parliament
4475,vancouversun_com_news_christian-charity-bc-directors-private-gain-cra-alleges_20250107_192358,2025-01-07,"Although the agency has shifted more of its efforts in recent years to education and what it calls “non-audit interventions,” Blumberg believes the number of audits is too low to ensure compliance in the sector.",EN,headlines
34966,441293HAN293-12645114,2024-03-21,Il se concentre sur les besoins des aînés qui ont travaillé toute leur vie et qui constatent que leur chèque de pension ne suffit plus.,FR,parliament
22479,441321HAN321-12777352,2024-05-30,"Speaker, the Liberal members from the Outaouais are right.",EN,parliament
27486,441390HAN390-13071965,2024-12-16,"On this issue, on the price of pollution, the carbon rebate versus the carbon tax, I would love, and I would welcome, any Conservative caucus member to come to Winnipeg North, or even have something at a local university here in Ottawa, where we could have a debate on that issue.Is the member that confident in the Conservative notes he has been provided to be able to take me up on the challenge?",EN,parliament
19478,www_journaldemontreal_com_2024_08_02_deux-tentatives-de-meurtre-a-saint-jerome-la-mere-de-laccuse-avait-un-mauvais-presentiment-concernant-son-fils-instable_20240802_215327,2024-08-02,"En direct d’un hôpital, celui-ci a été accusé de tentatives de meurtre sur deux hommes à l’aide d’un couteau.",FR,headlines
39433,441377HAN377-13021785,2024-11-27,"Nous veillerons à maintenir d'excellentes relations avec les États‑Unis alors que nous bâtissons un avenir meilleur des deux côtés de la frontière.Nous allons continuer d'obtenir des résultats qui ont de l'importance pour les Canadiens, que l'on pense aux soins dentaires, à l'insuline gratuite ou aux programmes d'alimentation dans les écoles.",FR,parliament
38513,441302HAN302-12688244,2024-04-18,C’était ça le fusil d’assaut dont il parlait.,FR,parliament
11923,ici_radio-canada_ca_nouvelle_2102613_kamala-harris-changements-climatiques-strategie_20240907_123403,2024-09-07,"La journaliste Dana Bash lui a demandé de clarifier sa position sur la fracturation hydraulique, une technique assez contestée à cause des substances chimiques injectées dans le sol, utilisée pour extraire du gaz naturel ou du pétrole de schiste.",FR,headlines
28043,441339HAN339-12866875,2024-09-19,"Speaker, if that member wants to talk about entitlements, he should talk to the leader of his party who has a calculated $2 million pension and who lives in government housing, while at the same time looking to cut the pensions of Canadians, raise the age of retirement from 65 to 67, and cut the Canada child benefit and other benefits that help Canadians.",EN,parliament
38594,441340HAN340-12870067,2024-09-20,J'en ai parlé plus tôt.,FR,parliament
34984,441378HAN378-13026643,2024-11-28,Je vais demander au député de se lever.,FR,parliament
24164,441298HAN298-12674678,2024-04-11,I declare Motion No. 64 defeated.,EN,parliament
35271,441298HAN298-12674145,2024-04-11,"Je déclare donc les motions nos 9, 20 et 130 rejetées.La mise aux voix porte sur la motion no 4.",FR,parliament
10643,www_journaldemontreal_com_2024_06_29_trois-residences-principales-sur-airbnb-un-proprio-raconte-comment-il-a-pu-facilement-dejouer-les-regles_20240630_064341,2024-06-30,Il peut le faire grâce à trois numéros d’enregistrement de la Corporation de l’industrie touristique du Québec (CITQ) de «résidences principales».,FR,headlines
6911,www_theglobeandmail_com_canada_article-canadians-killed-israeli-strike-lebanon__20240926_050329,2024-09-26,"Global Affairs Canada, which reported the deaths of the two Canadians on Tuesday night, did not identify the victims.",EN,headlines
26847,441318HAN318-12763616,2024-05-27,The reason we are having the debate today is that incident.,EN,parliament
39193,441306HAN306-12709201,2024-05-01,"Comme il est 15 h 21, la Chambre procédera maintenant au vote par appel nominal différé sur la motion d'adoption du 9e rapport du Comité permanent du patrimoine canadien, qui concerne la prolongation du délai pour étudier le projet de loi C‑316, Loi modifiant la Loi sur le ministère du Patrimoine canadien (Programme de contestation judiciaire).",FR,parliament
24457,441334HAN334-12836528,2024-06-18,"In 2021, my party successfully amended the budget implementation bill to close the federal office responsible for creating a single securities commission.",EN,parliament
5937,www_theglobeandmail_com_world_us-politics_article-supreme-court-immunity-decision-trump__20240702_000344,2024-07-02,"Sauer also told the Supreme Court that, without absolute presidential immunity, presidents could be prosecuted for a wide variety of official acts, such as when former president Barack Obama ordered drone strikes on terrorists around the world.",EN,headlines
12774,www_lapresse_ca_actualites_chroniques_2024-07-17_ce-chien-mira-pourra-t-il-traverser-aux-etats-unis-en-aout_php_20240717_091333,2024-07-17,"Pour l’Europe, il faut compter entre 30 et 45 minutes.",FR,headlines
8479,www_theglobeandmail_com_canada_article-canada-soccer-spying-culture-problem__20241123_151328,2024-11-23,"She declined an interview, but said in a text message she believes the culture inside Canada Soccer is improving.",EN,headlines
23101,441316HAN316-12755723,2024-05-23,That is not what anybody wants to see.,EN,parliament
4384,globalnews_ca_news_10638364_jasper-national-park-wildfire-evacuees-alberta__20240724_063349,2024-07-24,Alberta fire officials said B.C. has its hands full with its own wildfires and evacuations.,EN,headlines
4371,nationalpost_com_opinion_terry-glavin-nato-sleepwalks-away-from-the-problems-of-its-bloodied-global-allies_20241222_134408,2024-12-22,And yet Sharaa’s HTS is now one of the most stabilizing and broadly popular forces in that vast reach of the Earth between Cairo and New Delhi.,EN,headlines
20403,441308HAN308-12718558,2024-05-03,Here I think we have an example of that.,EN,parliament
32133,441309HAN309-12722254,2024-05-06,Ils viennent ensuite nous reprocher d'appuyer ou de ne pas appuyer des mesures qu'ils n'ont même pas défendues eux-mêmes devant les Canadiens.,FR,parliament
8969,www_theglobeandmail_com_canada_article-white-house-says-tariffs-will-come-to-canada-on-feb-1__20250201_063352,2025-02-01,Trump’s plan as he outlined it was vague on some details and will require clarification.,EN,headlines
26626,441369HAN369-12987862,2024-11-08,All those opposed to the motion will please say nay.The motion is carried.,EN,parliament
6046,www_thestar_com_news_investigations_you-have-been-abusive-to-me-for-over-40-years-did-barry-and-honey-sherman_article_019adf1a-63bb-11ef-a470-7be7d4a7ad58_html_20240903_143435,2024-09-03,The Star returns to court later this year.,EN,headlines
17731,www_lapresse_ca_actualites_sante_2024-12-10_clic-sante_quebec-prend-ses-distances-de-la-plateforme_php_20241210_235331,2024-12-10,"Ce problème est « la non-disponibilité des soins au public », poursuit l’élu dans une déclaration écrite à La Presse.",FR,headlines
30785,441352HAN352-12918260,2024-10-09,"Il est important de le faire le plus rapidement possible, mais voilà que nous nous faisons garrocher de telles affaires.",FR,parliament
14857,www_tvanouvelles_ca_2024_12_19_frappe-contre-la-guerre-des-stupefiants--des-crimes-violents-resolus-aux-quatre-coins-du-quebec_20241219_215348,2024-12-19,"On l’accuse notamment de séquestration, d’enlèvement avec une arme à feu, de voies de fait graves et de possession d’armes à feu.",FR,headlines
30746,441321HAN321-12776725,2024-05-30,Les banques alimentaires ont atteint leur pleine capacité et elles réclament de l'aide.,FR,parliament
34739,441328HAN328-12810066,2024-06-10,"J'ai effectivement dit dans mon intervention que le mandat élaboré par tous les partis de la Chambre confère une grande latitude, donc pas une latitude illimitée, mais une grande latitude à la commission d'enquête.",FR,parliament
37333,441279HAN279-12573950,2024-02-09,Le projet de loi C‑320 exigerait qu'on fournisse aux victimes une explication sur la manière dont ces dates ont été déterminées.,FR,parliament
16289,www_ledevoir_com_societe_824937_proprietaire-francais-entreprise-drummondville-pourrait-devoir-quitter-quebec_20241203_150354,2024-12-03,"Bien qu’il manie habilement les expressions colorées du Québec, ce père de trois enfants n’entend pas à rire.",FR,headlines
9234,nationalpost_com_feature_why-cant-canada-have-superstar-baseball-players-just-ask-vlad-guerrero-jr_20250125_202349,2025-01-25,"Some of the volume on that narrative turned down on Jan. 20 when the team agreed to a five-year, US$92.5-million deal with former Orioles slugger Anthony Santander.",EN,headlines
3037,www_thestar_com_news_canada_canada-and-india-each-expel-six-diplomats-amid-murder-investigation-of-sikh-activist-in-b_article_d17db700-8a4b-11ef-bc06-3b4aeb86095c_html_20241014_193353,2024-10-14,"The statement makes reference to “certain allegations” made by Canada’s prime minister in September 2023, when Justin Trudeau stood up in the House of Commons to say that India was suspected of involvement in the shooting death of Hardeep Singh Nijjar in Surrey, B.C.",EN,headlines
34223,441310HAN310-12725690,2024-05-07,"En ce moment, les municipalités font du logement, s'occupent du zonage et délivrent les permis.",FR,parliament
18549,www_journaldemontreal_com_2025_01_31_un-voleur-qui-a-change-son-nom-a-la-tete-dun-petit-empire-dairbnb_20250131_080329,2025-01-31,"«Vous avez souligné des problèmes potentiels dans 10-12 % de nos annonces actuelles, et nous vous remercions de l'avoir porté à notre attention.",FR,headlines
32425,441372HAN372-13001102,2024-11-20,On est un peu énervés; j'ai compris à moitié seulement la question.Mon collègue faisait référence au Danemark.,FR,parliament
20957,441373HAN373-13005484,2024-11-21,"Speaker, it being Thursday, I thought it would be a good opportunity to ask the government House leader what the business might be for the rest of this week and for next week as well.We have been debating a privilege motion, with which the government has chosen to paralyze Parliament through its refusal to comply with a lawfully passed production order wherein the House of Commons demanded that all documents related to the $400-million green slush fund be handed over to the RCMP so it can conduct a criminal investigation.",EN,parliament
1106,www_cbc_ca_news_canada_toronto_ontario-femicide-young-victims-1_7302542_20240824_144359,2024-08-24,"And to me, it's about a lack of implementation and a lack of attention.""",EN,headlines
3719,www_cbc_ca_news_canada_incendiary-devices-plot-canada-russia-1_7378613_20241109_213430,2024-11-09,That's the role that we play.,EN,headlines
22628,441318HAN318-12762801,2024-05-27,It is clear what his credentials were.,EN,parliament
28136,441353HAN353-12923472,2024-10-10,"We have an RCMP agency that is recognized around the world as second to, I would suggest, no other agency or law enforcement group.",EN,parliament
578,vancouversun_com_entertainment_music_rolling-stones-vancouver-concert-bc-place_20240707_020336,2024-07-07,A surprise for this reviewer was Midnight Rambler.,EN,headlines
22712,441389HAN389-13070362,2024-12-13,It is time to put the rights of victims and their families above the rights of murderers.,EN,parliament
2133,montrealgazette_com_news_local-news_montreal-public-health-calls-for-tolerance-cooperation-during-heat-wave_20240619_031343,2024-06-19,"On Tuesday, the city said one third of its outdoor pools have been opened  —  about 25 across the city —  and more than 180 splash pads for children are operational.",EN,headlines
9174,globalnews_ca_news_10556892_ukraine-peace-summit-switzerland-russia-explainer__20240612_134342,2024-06-12,“Then a negotiation can be useful to put (post-war) terms in writing.,EN,headlines
5357,edmonton_ctvnews_ca_top-cats-panthers-win-their-1st-stanley-cup-top-oilers-2-1-in-game-7-1_6938146_20240625_062340,2024-06-25,MST Puck drop is minutes away.,EN,headlines
17499,www_journaldemontreal_com_2024_11_16_ch--les-chevaliers-dores-sont-en-ville_20241124_035326,2024-11-24,C'est maintenant Cayden Primeau (MTL) qui est devant la cage du Canadien.,FR,headlines
3820,montrealgazette_com_opinion_letters_letters-amid-montreals-many-woes-plante-plugs-french_20241022_091354,2024-10-22,"With all the problems and financial needs Montreal faces, her decision to mandate a panel to create an action plan to promote French — including a proposed new bureau at city hall — is, in my opinion, unwarranted, superfluous and an all-around bad idea.",EN,headlines
1059,london_ctvnews_ca_he-s-a-hero-father-runs-into-burning-home-and-emerges-with-two-infant-children-1_7080172_20241020_222357,2024-10-20,Investigator Russ Morningstar from the Office of the Ontario Fire Marshal was on scene Sunday morning.,EN,headlines
16110,ici_radio-canada_ca_nouvelle_2110386_7-octobre-triste-anniversaire-et-horizon-bouche_20241007_162327,2024-10-07,"Des bilans sans équivalent, en aussi peu de temps, dans toute l’histoire du peuple palestinien.",FR,headlines
15234,www_journaldemontreal_com_2024_10_31_carte-des-vols-dauto--decouvrez-le-nouvel-endroit-prefere-des-criminels-au-quebec-en-2024_20241101_082326,2024-11-01,"Il évoque la diversité des véhicules disponibles dans les centres commerciaux, les modèles plus haut de gamme de la clientèle de l’ouest de l’île, et la proximité avec l’autoroute 40 qui permet une fuite rapide.",FR,headlines
36705,441314HAN314-12745285,2024-05-21,Je déclare la motion adoptée.Le secrétaire parlementaire invoque le Règlement.,FR,parliament
24147,441311HAN311-12732406,2024-05-08,This is the context that brings us to this important question of privilege.,EN,parliament
29227,441291HAN291-12636552,2024-03-19,"Today we benefit from the elimination of trade barriers, tariff barriers and non-tariff barriers, as we look outward.",EN,parliament
10396,www_journaldemontreal_com_2024_06_23_violente-agression--5-ans-et-demi-de-prison-pour-avoir-deforme-le-crane-dune-connaissance-de-longue-date_20240623_120338,2024-06-23,"Parmi les éléments considérés par le tribunal, on note que M.",FR,headlines
18654,www_lapresse_ca_actualites_2024-10-14_usage-de-la-biometrie-dans-les-entreprises_plus-populaire-souvent-illegal_php_20241014_121353,2024-10-14,"» Le plus grand danger, selon M.",FR,headlines
28723,441349HAN349-12906686,2024-10-04,The same goes for the other foundations.This brings us to the scandal and the issue that we have been debating for the past week.,EN,parliament
31469,441363HAN363-12966002,2024-10-31,"Je les avertis qu’avoir comme amis les conservateurs à la Chambre des communes, c’est dangereux pour les Québécois.",FR,parliament
17567,www_journaldemontreal_com_2024_09_27_trafic-sur-lile-bizard-des-enfants-forces-de-faire-leur-besoin-dans-leur-pantalon-informe-le-maire_20240927_215326,2024-09-27,Il indique d’ailleurs les nombreuses fois où la mairesse a brillé par son absence dans le cadre de ce tournoi de golf.,FR,headlines
31831,441371HAN371-12994943,2024-11-19,Est-ce que cela signifie que l'accord est parfait?,FR,parliament
21234,441366HAN366-12975095,2024-11-05,Personal attacks are not permitted in this place.,EN,parliament
37092,441311HAN311-12732569,2024-05-08,"Le premier ministre a tendu la main à maintes reprises au régime de Pékin et a fermé les yeux sur son ingérence dans notre démocratie, car, selon lui, elle était bénéfique au Parti libéral.Nous devons donc tirer au clair ce qui s'est passé et déterminer qui a appris quoi, où l'information est allée et pourquoi des députés ont été laissés dans l'ignorance.",FR,parliament
1884,vancouversun_com_news_post-viaduct-future-northeast-false-creek-new-plan-concord-pacific_20250108_130357,2025-01-08,"The broader Northeast False Creek plan — including removing the viaducts and adding housing, public spaces, amenities, and job space — represents “an enormous, once-in-a-lifetime city-building opportunity,” Shillito said.",EN,headlines
30164,441270HAN270-12530693,2024-01-29,"Il doit se concentrer sur ce que le marché ne fait pas et ne fera pas, c'est‑à‑dire construire des logements sociaux.Dire que nous voulons que le gouvernement se concentre en particulier sur les logements sociaux ne revient pas à minimiser le rôle du marché et des logements du marché; nous disons simplement que l'attention du gouvernement et ses politiques publiques ne devraient pas se concentrer sur le domaine privé.",FR,parliament
23445,441354HAN354-12927649,2024-10-11,"Speaker, you where there too, I recall.",EN,parliament
34008,441307HAN307-12713658,2024-05-02,"La semaine dernière, l'Agence internationale de l'énergie a déclaré que nous sommes au « début de la fin de l'ère des combustibles fossiles », alors que « la demande de pétrole, de gaz naturel et de charbon » atteindra un « sommet » au cours des prochaines années.",FR,parliament
17951,www_ledevoir_com_environnement_821594_longueuil-obtient-permis-abattre-cerfs-parc-michel-chartrand_20241011_201328,2024-10-11,"Les dates précises et les modalités ne seront pas communiquées à l’avance afin de maximiser la sécurité et le bon déroulement des opérations », ajoute la Ville.",FR,headlines
17797,www_ledevoir_com_societe_justice_825501_gilbert-rozon-attendu-lundi-matin-palais-justice-proces_20241210_030406,2024-12-10,» Elle dit ne pas se souvenir de ce qui s’est passé entre le divan et le lit.,FR,headlines
12415,www_tvanouvelles_ca_2024_09_16_tentative-dassassinat-presumee-sur-trump-les-services-secrets-americains-a-leur-meilleur_20240916_145327,2024-09-16,"Juneau-Katsuya, précisant que le suspect, Ryan Wesley Routh, aurait installé des plaques de céramique afin de se protéger tout en y laissant un petit espace afin de réaliser son tir.",FR,headlines
8541,www_thestar_com_politics_federal_scandal-outrage-and-success-how-a-raucous-2024-unfolded-in-the-house-of-commons_article_77ceb288-b99c-11ef-abc5-0b9f4cf84980_html_20241227_224359,2024-12-27,"As for who spoke the least, former Liberal cabinet minister Omar Alghabra holds that honour, rising to speak only once near the end of the year.",EN,headlines
3445,www_thestar_com_politics_provincial_ontario-looking-to-give-more-power-to-pharmacists-as-billing-concerns-haunt-one-program-they_article_9b7dcc6c-49dc-11ef-98a2-9b3759fccb6f_html_20240725_080431,2024-07-25,Ontario is looking to give pharmacists more powers to prescribe drugs for common ailments like strep throat even as it re-examines the “MedsCheck” program amid reports some drug stores used it to pad profits.,EN,headlines
15989,www_ledevoir_com_monde_moyen-orient_825839_antichambre-abattoir-humain-bachar-al-assad_20241212_135329,2024-12-12,"Un portrait de Bachar al-Assad est au sol, piétiné.",FR,headlines
19176,ici_radio-canada_ca_nouvelle_2085222_transfert-fonctionnaires-msss-sante-quebec_20240709_173348,2024-07-09,"Selon le SPGQ, c'est ce manque d'information qui freine l'intérêt de ses membres à faire le saut.",FR,headlines
4610,www_thestar_com_news_gta_torontos-traffic-is-a-nightmare-heres-what-some-experts-say-is-the-biggest-culprit-and_article_2e29c71c-acd6-11ef-92d2-33ef8207aefb_html_20241207_124359,2024-12-07,"“Traffic is sign of a growing, thriving city...",EN,headlines
26044,441291HAN291-12631630,2024-03-19,"They say they want to shrink the size of government, provided that oil is not affected.",EN,parliament
21899,441313HAN313-12739297,2024-05-10,The minister talked about finding common ground and solutions.,EN,parliament
5472,nationalpost_com_opinion_np-view-the-age-of-online-harms-legislation-is-over_20250112_053403,2025-01-12,"After a long campaign that started in 2020, a beachhead for online interference was established with the 2023 passing of Bill C-11, the Online Streaming Act, which placed digital streamers under the ambit of the Canadian Radio-television and Telecommunications Commission (CRTC).",EN,headlines
16106,www_journaldemontreal_com_2024_10_26_des-enfants-de-11-ou-12-ans-accros-aux-drogues_20241025_060327,2024-10-25,"En 2017, le Québec avait recensé 7 décès par surdose chez les moins de 20 ans.",FR,headlines
9865,www_theglobeandmail_com_world_article-biden-says-debate-was-a-bad-night-and-senior-democrats-wont-push-for__20240706_035348,2024-07-06,"Barbara Ann Perry, a presidential historian at the University of Virginia, recounted watching Mr.",EN,headlines
10897,www_ledevoir_com_economie_815846_northvolt-jeune-entreprise-doit-faire-preuves-estiment-experts_20240703_011336,2024-07-03,"En octobre dernier, le quotidien britannique Financial Times rapportait que Northvolt prévoyait une entrée en Bourse pour l’année 2024, à une valorisation oscillant autour de 20 milliards de dollars américains, soit plus de 27 milliards de dollars canadiens.",FR,headlines
11254,www_lapresse_ca_international_etats-unis_2024-11-27_le-pied-de-nez-de-trump-a-metoo_php_20241127_075334,2024-11-27,Aucune accusation n’a été portée contre lui.,FR,headlines
39691,441320HAN320-12773523,2024-05-29,"Madame la présidente, à l'heure actuelle, Santé Canada n'examine aucune proposition concernant ces municipalités.",FR,parliament
1730,www_cbc_ca_news_world_new-orleans-truck-attack-victims-1_7421536_20250102_165438,2025-01-02,"Princeton football coach Bob Surace said Wednesday that he had been texting with Bech's father, sharing memories of the player, who was a school kick returner and receiver from 2017 to 2019.",EN,headlines
21493,441283HAN283-12591331,2024-02-15,I am referring specifically to the member for Alfred-Pellan.The hon.,EN,parliament
31642,441344HAN344-12886378,2024-09-26,Mais qu'en est‑il des hôpitaux?,FR,parliament
1724,www_theglobeandmail_com_business_article-cn-cpkc-lock-out-employees-after-failed-negotiations-with-union__20240822_061349,2024-08-22,"Even before a work stoppage, the Port of Vancouver had revised its anchorage assignments and told vessel operators to slow down to avoid congesting the docks and surrounding waters.",EN,headlines
18127,ici_radio-canada_ca_nouvelle_2135378_champagne-appui-carney-chefferie-liberale_20250126_170356,2025-01-26,"Nous [savons] comment négocier, même négocier avec M.",FR,headlines
17303,ici_radio-canada_ca_nouvelle_2101488_lancement-missiles-nucleaire-burevestnik-russie_20240903_092355,2024-09-03,Il a qualifié le Burevestnik d'arme politique que M.,FR,headlines
31615,441320HAN320-12773054,2024-05-29,"Madame la présidente, je tiens à dissiper tout malentendu en disant qu'à titre de ministre de la Santé mentale et des Dépendances, je n'ai pas rencontré de représentants de Fair Price Pharma.",FR,parliament
14654,ici_radio-canada_ca_info_en-direct_1012224_demission-chrystia-freeland_20241217_032329,2024-12-17,La démission de Chrystia Freeland a monopolisé une bonne partie du point de presse final du Conseil de la fédération.,FR,headlines
5560,montrealgazette_com_news_a-legacy-of-service-respect-dedication-to-montreal-jews_20240911_001342,2024-09-11,"“Nights and weekends, I do research — and in winter, I solder and build equipment.”",EN,headlines
35899,441311HAN311-12732479,2024-05-08,La juge Hogue a fait un travail important.,FR,parliament
18225,www_journaldemontreal_com_2024_09_30_les-jeunes-devront-saffirmer_20241005_082326,2024-10-05,Une moyenne d’efficacité supérieure à 20% serait souhaitable pour que l’équipe progresse.,FR,headlines
22591,441333HAN333-12832819,2024-06-17,"I can suggest to you that the programs being put in place would have a positive, profound impact by working with other levels of government, contrary to the position that the Conservatives have, which is to cut the funding and beat the municipalities over the head to try to get them to build more homes.",EN,parliament
